"","student_tracking_id","LetAbilitySS","LetAbility","ELStatus.x","proxy_SES.x","pseAbilitySS","pseAbility","ELStatus.y","proxy_SES.y","MPabilitySS","MPability.x","ELStatus","proxy_SES","wcj_lwi","wcj_lwi_ss","wcj_spelling","wcj_spelling_ss","wcj_wa","wcj_wa_ss","wcj_srt","wcj_srt_ss","wcm_lwi","wcm_lwi_ss","age_month","grade","ble_ucat","del_ucat","evo_ucat","rvo_ucat","nre_ucat","wre_ucat","srt_ucat","nwr_ucat","lnc","lco","rao","dgs","lsi_ucat","reading_outcome","cELStatus","cProxySES"
"1",1,0.666059096963018,0.857247458552491,"EL","NotReported",0.160468947829814,-0.0397440157169303,"EL","NotReported",1.25756708198187,2.26787486896572,"EL","NotReported",29,81,NA,NA,NA,NA,NA,NA,38,98,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"EL","NotReported"
"2",2,0.0822908103303688,0.0843889639059041,"EL","NotReported",-0.717598825060792,-1.05154750063993,"EL","NotReported",-2.30154485024958,-1.46847325621841,"EL","NotReported",14,62,NA,NA,NA,NA,NA,NA,30,91,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"EL","NotReported"
"3",3,-0.503155690883601,-0.642875193318885,"EL","NotReported",-0.686841710117274,-1.12109216972074,"EL","NotReported",NA,NA,NA,NA,25,84,NA,NA,NA,NA,NA,NA,39,108,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,"EL","NotReported"
"4",4,0.132619527459156,0.418352993056442,"EL","NotReported",0.839504346413539,0.706159238883065,"EL","NotReported",-0.0874364262580329,1.01148945720216,"EL","NotReported",31,85,NA,NA,NA,NA,NA,NA,34,93,104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"EL","NotReported"
"5",5,-1.09384306426307,-1.32810767070559,"EL","NotReported",NA,NA,NA,NA,1.89010952407253,2.50163587691285,"EL","NotReported",12,64,6,67,5,67,NA,NA,NA,NA,90,1,NA,-0.1684,-1.1195,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,64,"EL","NotReported"
"6",6,0.50298457849243,0.552355284071622,"EL","NotReported",-0.34236044574786,-0.642875193318885,"EL","NotReported",-0.780233711358127,0.0971469309112128,"EL","NotReported",21,73,NA,NA,NA,NA,NA,NA,39,102,96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"EL","NotReported"
"7",7,0.680790919953004,0.682889073528577,"EL","NotReported",0.761787836279006,0.427839160699871,"EL","NotReported",1.45253168662776,2.28560328065893,"EL","NotReported",27,82,11,77,12,94,NA,NA,NA,NA,95,1,NA,1.2267,0.0639,NA,-0.2503,-1.6655,-0.0032,1.5915,NA,NA,31,9,NA,82,"EL","NotReported"
"8",8,0.23057017338729,-0.0509669850588511,"EL","NotReported",-1.68215577514424,-2.21670801877204,"EL","NotReported",NA,NA,NA,NA,16,75,NA,NA,NA,NA,NA,NA,14,72,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"EL","NotReported"
"9",9,-1.20396860229426,-1.4855057607404,"EL","NotReported",0.361260544442822,-0.173291699184974,"EL","NotReported",0.162892081909691,0.730109386511836,"EL","NotReported",29,93,NA,NA,NA,NA,NA,NA,44,119,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"EL","NotReported"
"10",10,-1.39530655136279,-1.44048094979084,"EL","NotReported",-1.99390757083432,-2.36129017442156,"EL","NotReported",-3.19633280867484,-2.40757026288184,"EL","NotReported",21,76,NA,NA,NA,NA,NA,NA,35,99,94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,"EL","NotReported"
"11",11,0.586245815945766,0.682889073528577,"EL","NotReported",0.455051296088452,0.187970476525537,"EL","NotReported",-1.52489590854732,-0.60320621803981,"EL","NotReported",25,77,NA,NA,NA,NA,NA,NA,27,83,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"EL","NotReported"
"12",12,-0.106799397684144,0.0843889639059041,"EL","NotReported",0.0269212643617205,-0.173291699184974,"EL","NotReported",0.571176736466518,1.58148452345037,"EL","NotReported",29,81,NA,NA,NA,NA,NA,NA,55,122,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"EL","NotReported"
"13",13,0.309676736413188,0.500865098003236,"EL","NotReported",-0.23626068797113,-0.436473651517824,"EL","NotReported",0.0375128463662082,1.04782063335006,"EL","NotReported",24,74,8,63,15,99,NA,NA,NA,NA,99,1,NA,0.7586,-0.6157,NA,-0.1978,-0.0844,-0.0529,1.2001,NA,NA,30,8,NA,74,"EL","NotReported"
"14",14,-1.8043328144633,-1.75496210888411,"EL","NotReported",-1.54129614778668,-1.84181089535771,"EL","NotReported",0.95562859752099,1.83300923979033,"EL","NotReported",23,76,NA,NA,NA,NA,NA,NA,36,98,96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,"EL","NotReported"
